"YEAR","ASPECT","SITE","PLOT","NAME","start","peak","end","length"
2015,"N","BH","BHN1","Dichelostemma capitatum",67,67,77,10
2015,"N","BH","BHN1","Erodium botrys",67,67,110,43
2015,"N","BH","BHN1","Erodium cicutarium",77,89,115,38
2015,"N","BH","BHN1","Eschscholzia californica",89,94,121,32
2015,"N","BH","BHN1","Lasthenia californica",67,67,67,0
2015,"N","BH","BHN1","Lasthenia gracilis",77,77,77,0
2015,"N","BH","BHN1","Lomatium utriculatum",115,121,121,6
2015,"N","BH","BHN1","Lupinus bicolor",77,77,82,5
2015,"N","BH","BHN1","Plagiobothrys tenellus",67,77,94,27
2015,"N","BH","BHN1","Silene gallica",128,128,128,0
2015,"N","BH","BHN1","Trifolium hirtum",89,103,121,32
2015,"N","BH","BHN1","Trifolium willdenovii",77,77,77,0
2015,"N","BH","BHN2","Erodium botrys",67,67,115,48
2015,"N","BH","BHN2","Erodium cicutarium",77,110,110,33
2015,"N","BH","BHN2","Eschscholzia californica",82,94,128,46
2015,"N","BH","BHN2","Lasthenia californica",67,67,67,0
2015,"N","BH","BHN2","Lupinus bicolor",67,82,82,15
2015,"N","BH","BHN2","Plagiobothrys tenellus",67,89,115,48
2015,"N","BH","BHN3","Dichelostemma capitatum",77,77,115,38
2015,"N","BH","BHN3","Erodium botrys",67,67,110,43
2015,"N","BH","BHN3","Erodium cicutarium",77,110,115,38
2015,"N","BH","BHN3","Eschscholzia californica",94,103,152,58
2015,"N","BH","BHN3","Lupinus bicolor",67,77,77,10
2015,"N","BH","BHN3","Plagiobothrys tenellus",67,77,89,22
2015,"N","DP","DPN1","Brodiaea elegans",152,152,152,0
2015,"N","DP","DPN1","Calochortus luteus",152,152,152,0
2015,"N","DP","DPN1","Castilleja attenuata",94,103,110,16
2015,"N","DP","DPN1","Clarkia purpurea",115,121,140,25
2015,"N","DP","DPN1","Dichelostemma capitatum",89,94,110,21
2015,"N","DP","DPN1","Erodium cicutarium",77,94,110,33
2015,"N","DP","DPN1","Leptosiphon jepsonii",89,103,115,26
2015,"N","DP","DPN1","Lomatium utriculatum",77,82,89,12
2015,"N","DP","DPN1","Lupinus bicolor",67,77,89,22
2015,"N","DP","DPN1","Trifolium willdenovii",82,89,103,21
2015,"N","DP","DPN2","Clarkia purpurea",115,121,128,13
2015,"N","DP","DPN2","Dichelostemma capitatum",82,94,103,21
2015,"N","DP","DPN2","Erodium cicutarium",103,103,110,7
2015,"N","DP","DPN2","Leptosiphon jepsonii",94,103,115,21
2015,"N","DP","DPN2","Lomatium utriculatum",77,89,94,17
2015,"N","DP","DPN2","Lupinus bicolor",77,77,82,5
2015,"N","DP","DPN2","Trifolium willdenovii",89,89,115,26
2015,"N","DP","DPN3","Brodiaea elegans",121,121,121,0
2015,"N","DP","DPN3","Calochortus luteus",89,89,89,0
2015,"N","DP","DPN3","Castilleja attenuata",94,94,94,0
2015,"N","DP","DPN3","Clarkia purpurea",115,121,140,25
2015,"N","DP","DPN3","Dichelostemma capitatum",82,103,103,21
2015,"N","DP","DPN3","Dichelostemma congestum",128,128,140,12
2015,"N","DP","DPN3","Erodium cicutarium",94,110,121,27
2015,"N","DP","DPN3","Leptosiphon jepsonii",94,103,121,27
2015,"N","DP","DPN3","Lupinus bicolor",77,77,82,5
2015,"N","DP","DPN3","Primula hendersonii",67,67,67,0
2015,"N","DP","DPN3","Trifolium angustifolium",128,128,128,0
2015,"N","DP","DPN3","Trifolium hirtum",94,94,94,0
2015,"N","DP","DPN3","Trifolium willdenovii",89,89,89,0
2015,"N","FR","FRN1","Erodium botrys",82,103,128,46
2015,"N","FR","FRN1","Erodium cicutarium",77,110,121,44
2015,"N","FR","FRN1","Lupinus bicolor",67,77,77,10
2015,"N","FR","FRN1","Plagiobothrys tenellus",77,89,115,38
2015,"N","FR","FRN1","Silene gallica",67,67,67,0
2015,"N","FR","FRN1","Trifolium angustifolium",103,103,103,0
2015,"N","FR","FRN1","Trifolium hirtum",103,115,121,18
2015,"N","FR","FRN2","Centaurea solstitialis",152,160,160,8
2015,"N","FR","FRN2","Erodium botrys",82,110,121,39
2015,"N","FR","FRN2","Erodium cicutarium",77,103,115,38
2015,"N","FR","FRN2","Lupinus bicolor",67,67,77,10
2015,"N","FR","FRN2","Plagiobothrys tenellus",67,77,94,27
2015,"N","FR","FRN2","Trifolium hirtum",94,115,121,27
2015,"N","FR","FRN3","Amsinckia menziesii",89,115,128,39
2015,"N","FR","FRN3","Carduus pycnocephalus",115,128,140,25
2015,"N","FR","FRN3","Erodium botrys",82,103,128,46
2015,"N","FR","FRN3","Erodium cicutarium",77,110,152,75
2015,"N","FR","FRN3","Lupinus bicolor",77,82,94,17
2015,"N","FR","FRN3","Trifolium hirtum",67,110,121,54
2015,"N","TP","TPN1","Achillea millefolium",94,115,140,46
2015,"N","TP","TPN1","Brodiaea elegans",160,160,160,0
2015,"N","TP","TPN1","Dichelostemma capitatum",89,89,103,14
2015,"N","TP","TPN1","Leptosiphon jepsonii",121,121,140,19
2015,"N","TP","TPN1","Lomatium utriculatum",89,89,94,5
2015,"N","TP","TPN1","Lupinus bicolor",67,77,128,61
2015,"N","TP","TPN1","Nemophila heterophylla",110,110,110,0
2015,"N","TP","TPN1","Ranunculus occidentalis",67,82,103,36
2015,"N","TP","TPN1","Trifolium angustifolium",140,140,140,0
2015,"N","TP","TPN1","Vicia sativa",77,82,82,5
2015,"N","TP","TPN2","Lomatium utriculatum",94,94,94,0
2015,"N","TP","TPN2","Lysimachia arvensis",128,128,128,0
2015,"N","TP","TPN2","Ranunculus occidentalis",67,77,103,36
2015,"N","TP","TPN2","Silene gallica",94,103,140,46
2015,"N","TP","TPN2","Trifolium angustifolium",140,140,140,0
2015,"N","TP","TPN2","Trifolium hirtum",103,103,103,0
2015,"N","TP","TPN3","Brodiaea elegans",160,160,160,0
2015,"N","TP","TPN3","Clarkia purpurea",115,115,115,0
2015,"N","TP","TPN3","Lysimachia arvensis",128,128,128,0
2015,"N","TP","TPN3","Microsteris gracilis",110,110,110,0
2015,"N","TP","TPN3","Trifolium angustifolium",140,140,140,0
2015,"N","TP","TPN3","Trifolium hirtum",110,115,121,11
2015,"N","TP","TPN3","Vicia sativa",77,77,77,0
2015,"S","BH","BHS1","Dichelostemma capitatum",67,67,82,15
2015,"S","BH","BHS1","Erodium botrys",67,103,121,54
2015,"S","BH","BHS1","Erodium cicutarium",67,67,67,0
2015,"S","BH","BHS1","Trifolium hirtum",115,115,115,0
2015,"S","BH","BHS2","Convolvulus arvensis",115,115,152,37
2015,"S","BH","BHS2","Erodium botrys",77,103,121,44
2015,"S","BH","BHS2","Erodium cicutarium",103,103,103,0
2015,"S","BH","BHS3","Convolvulus arvensis",115,128,152,37
2015,"S","BH","BHS3","Dichelostemma capitatum",67,67,77,10
2015,"S","BH","BHS3","Erodium botrys",77,89,115,38
2015,"S","BH","BHS3","Erodium cicutarium",67,67,110,43
2015,"S","DP","DPS1","Acmispon brachycarpus",82,82,82,0
2015,"S","DP","DPS1","Clarkia purpurea",115,115,115,0
2015,"S","DP","DPS1","Dichelostemma capitatum",67,77,82,15
2015,"S","DP","DPS1","Erodium botrys",67,67,121,54
2015,"S","DP","DPS1","Erodium cicutarium",67,67,121,54
2015,"S","DP","DPS1","Leptosiphon jepsonii",82,82,82,0
2015,"S","DP","DPS1","Trifolium hirtum",103,115,121,18
2015,"S","DP","DPS2","Dichelostemma capitatum",67,77,89,22
2015,"S","DP","DPS2","Erodium botrys",67,110,128,61
2015,"S","DP","DPS2","Erodium cicutarium",67,67,67,0
2015,"S","DP","DPS3","Acmispon brachycarpus",82,82,115,33
2015,"S","DP","DPS3","Dichelostemma capitatum",67,82,94,27
2015,"S","DP","DPS3","Erodium botrys",67,110,128,61
2015,"S","DP","DPS3","Erodium cicutarium",77,77,77,0
2015,"S","DP","DPS3","Lupinus bicolor",77,77,77,0
2015,"S","DP","DPS3","Trifolium hirtum",103,110,115,12
2015,"S","FR","FRS1","Brodiaea elegans",140,152,152,12
2015,"S","FR","FRS1","Erodium botrys",77,94,115,38
2015,"S","FR","FRS1","Erodium cicutarium",67,82,110,43
2015,"S","FR","FRS1","Lupinus bicolor",67,67,89,22
2015,"S","FR","FRS1","Trifolium hirtum",103,110,115,12
2015,"S","FR","FRS2","Amsinckia menziesii",115,115,115,0
2015,"S","FR","FRS2","Dichelostemma capitatum",77,82,89,12
2015,"S","FR","FRS2","Erodium botrys",82,110,128,46
2015,"S","FR","FRS2","Erodium cicutarium",67,103,128,61
2015,"S","FR","FRS2","Plagiobothrys tenellus",67,82,94,27
2015,"S","FR","FRS2","Trifolium hirtum",89,115,121,32
2015,"S","FR","FRS3","Amsinckia menziesii",82,103,115,33
2015,"S","FR","FRS3","Castilleja attenuata",110,110,110,0
2015,"S","FR","FRS3","Centaurea solstitialis",160,160,160,0
2015,"S","FR","FRS3","Erodium botrys",77,103,121,44
2015,"S","FR","FRS3","Erodium cicutarium",67,103,128,61
2015,"S","FR","FRS3","Lupinus bicolor",67,67,77,10
2015,"S","FR","FRS3","Plagiobothrys tenellus",77,82,103,26
2015,"S","FR","FRS3","Trifolium hirtum",110,115,128,18
2015,"S","TP","TPS1","Dichelostemma capitatum",77,77,77,0
2015,"S","TP","TPS1","Erodium botrys",82,103,121,39
2015,"S","TP","TPS1","Plagiobothrys tenellus",67,67,77,10
2015,"S","TP","TPS1","Trifolium hirtum",115,121,121,6
2015,"S","TP","TPS2","Erodium botrys",82,110,121,39
2015,"S","TP","TPS2","Plagiobothrys tenellus",67,67,82,15
2015,"S","TP","TPS2","Sanicula bipinnatifida",77,77,77,0
2015,"S","TP","TPS2","Silene gallica",77,77,115,38
2015,"S","TP","TPS2","Trifolium hirtum",103,115,121,18
2015,"S","TP","TPS3","Brodiaea elegans",152,152,152,0
2015,"S","TP","TPS3","Erodium botrys",82,103,121,39
2015,"S","TP","TPS3","Plagiobothrys tenellus",67,77,77,10
2015,"S","TP","TPS3","Trifolium hirtum",115,115,115,0
2016,"N","BH","BHN1","Dichelostemma capitatum",89,97,97,8
2016,"N","BH","BHN1","Erodium botrys",80,80,80,0
2016,"N","BH","BHN1","Erodium cicutarium",80,80,132,52
2016,"N","BH","BHN1","Eschscholzia californica",97,117,139,42
2016,"N","BH","BHN1","Lasthenia californica",80,89,103,23
2016,"N","BH","BHN1","Lasthenia gracilis",80,80,80,0
2016,"N","BH","BHN1","Lupinus bicolor",80,89,125,45
2016,"N","BH","BHN1","Plagiobothrys tenellus",80,89,110,30
2016,"N","BH","BHN1","Silene gallica",103,103,110,7
2016,"N","BH","BHN1","Trifolium hirtum",110,125,132,22
2016,"N","BH","BHN1","Trifolium microcephalum",97,97,103,6
2016,"N","BH","BHN1","Trifolium willdenovii",80,97,97,17
2016,"N","BH","BHN2","Dichelostemma capitatum",80,89,103,23
2016,"N","BH","BHN2","Erodium botrys",80,80,125,45
2016,"N","BH","BHN2","Erodium cicutarium",80,80,89,9
2016,"N","BH","BHN2","Eschscholzia californica",97,103,139,42
2016,"N","BH","BHN2","Lupinus bicolor",80,89,103,23
2016,"N","BH","BHN2","Plagiobothrys tenellus",80,89,110,30
2016,"N","BH","BHN2","Silene gallica",89,89,132,43
2016,"N","BH","BHN2","Trifolium angustifolium",132,139,139,7
2016,"N","BH","BHN2","Trifolium hirtum",110,117,139,29
2016,"N","BH","BHN2","Trifolium willdenovii",89,125,125,36
2016,"N","BH","BHN3","Clarkia purpurea",132,132,139,7
2016,"N","BH","BHN3","Dichelostemma capitatum",89,89,97,8
2016,"N","BH","BHN3","Erodium botrys",80,80,125,45
2016,"N","BH","BHN3","Erodium cicutarium",80,80,103,23
2016,"N","BH","BHN3","Eschscholzia californica",110,117,153,43
2016,"N","BH","BHN3","Lasthenia californica",80,80,89,9
2016,"N","BH","BHN3","Lasthenia gracilis",97,97,103,6
2016,"N","BH","BHN3","Lupinus bicolor",80,80,97,17
2016,"N","BH","BHN3","Plagiobothrys tenellus",80,89,117,37
2016,"N","BH","BHN3","Silene gallica",132,132,139,7
2016,"N","BH","BHN3","Trifolium angustifolium",139,139,147,8
2016,"N","BH","BHN3","Trifolium hirtum",110,125,132,22
2016,"N","BH","BHN3","Trifolium microcephalum",110,110,110,0
2016,"N","BH","BHN3","Trifolium willdenovii",80,97,97,17
2016,"N","DP","DPN1","Brodiaea elegans",153,153,153,0
2016,"N","DP","DPN1","Calochortus luteus",153,153,153,0
2016,"N","DP","DPN1","Castilleja attenuata",103,110,125,22
2016,"N","DP","DPN1","Clarkia purpurea",125,132,153,28
2016,"N","DP","DPN1","Dichelostemma capitatum",97,110,110,13
2016,"N","DP","DPN1","Erodium cicutarium",89,125,132,43
2016,"N","DP","DPN1","Leptosiphon jepsonii",103,117,117,14
2016,"N","DP","DPN1","Lomatium utriculatum",80,80,89,9
2016,"N","DP","DPN1","Lupinus bicolor",80,89,125,45
2016,"N","DP","DPN1","Plagiobothrys tenellus",103,103,110,7
2016,"N","DP","DPN1","Trifolium willdenovii",97,97,103,6
2016,"N","DP","DPN2","Calochortus luteus",147,153,153,6
2016,"N","DP","DPN2","Castilleja attenuata",110,110,125,15
2016,"N","DP","DPN2","Clarkia purpurea",132,132,153,21
2016,"N","DP","DPN2","Dichelostemma capitatum",97,103,117,20
2016,"N","DP","DPN2","Erodium cicutarium",110,110,110,0
2016,"N","DP","DPN2","Hypericum perforatum",159,166,182,23
2016,"N","DP","DPN2","Leptosiphon jepsonii",97,117,125,28
2016,"N","DP","DPN2","Lomatium utriculatum",89,97,110,21
2016,"N","DP","DPN2","Lupinus bicolor",89,89,125,36
2016,"N","DP","DPN2","Microsteris gracilis",80,89,97,17
2016,"N","DP","DPN2","Trifolium microcephalum",89,89,89,0
2016,"N","DP","DPN2","Trifolium willdenovii",97,97,110,13
2016,"N","DP","DPN3","Calochortus luteus",153,153,153,0
2016,"N","DP","DPN3","Castilleja attenuata",125,125,132,7
2016,"N","DP","DPN3","Clarkia purpurea",125,139,153,28
2016,"N","DP","DPN3","Dichelostemma capitatum",110,110,110,0
2016,"N","DP","DPN3","Erodium cicutarium",147,147,147,0
2016,"N","DP","DPN3","Leptosiphon jepsonii",97,117,125,28
2016,"N","DP","DPN3","Lomatium utriculatum",80,89,97,17
2016,"N","DP","DPN3","Lupinus bicolor",80,89,125,45
2016,"N","DP","DPN3","Microsteris gracilis",80,89,89,9
2016,"N","DP","DPN3","Trifolium microcephalum",89,89,89,0
2016,"N","DP","DPN3","Trifolium willdenovii",97,103,103,6
2016,"N","FR","FRN1","Amsinckia menziesii",103,110,125,22
2016,"N","FR","FRN1","Erodium botrys",80,103,147,67
2016,"N","FR","FRN1","Erodium cicutarium",80,103,110,30
2016,"N","FR","FRN1","Lupinus bicolor",80,103,139,59
2016,"N","FR","FRN1","Plagiobothrys tenellus",80,103,125,45
2016,"N","FR","FRN1","Sherardia arvensis",110,117,117,7
2016,"N","FR","FRN1","Trifolium angustifolium",147,153,153,6
2016,"N","FR","FRN1","Trifolium hirtum",117,132,132,15
2016,"N","FR","FRN1","Trifolium willdenovii",80,80,80,0
2016,"N","FR","FRN2","Amsinckia menziesii",97,103,110,13
2016,"N","FR","FRN2","Brodiaea elegans",159,159,159,0
2016,"N","FR","FRN2","Erodium botrys",80,103,125,45
2016,"N","FR","FRN2","Erodium cicutarium",80,103,125,45
2016,"N","FR","FRN2","Lupinus bicolor",80,103,125,45
2016,"N","FR","FRN2","Plagiobothrys tenellus",89,103,117,28
2016,"N","FR","FRN3","Amsinckia menziesii",103,110,125,22
2016,"N","FR","FRN3","Carduus pycnocephalus",132,139,159,27
2016,"N","FR","FRN3","Erodium botrys",110,125,147,37
2016,"N","FR","FRN3","Erodium cicutarium",80,110,147,67
2016,"N","FR","FRN3","Lupinus bicolor",97,125,132,35
2016,"N","FR","FRN3","Sherardia arvensis",97,110,132,35
2016,"N","FR","FRN3","Trifolium angustifolium",147,147,147,0
2016,"N","FR","FRN3","Trifolium dubium",125,125,125,0
2016,"N","FR","FRN3","Trifolium hirtum",125,125,125,0
2016,"N","FR","FRN3","Trifolium subterraneum",89,97,110,21
2016,"N","FR","FRN3","Vicia sativa",97,97,97,0
2016,"N","TP","TPN1","Claytonia perfoliata",103,103,103,0
2016,"N","TP","TPN1","Dichelostemma capitatum",97,110,117,20
2016,"N","TP","TPN1","Hemizonia congesta",147,159,173,26
2016,"N","TP","TPN1","Leptosiphon jepsonii",110,125,139,29
2016,"N","TP","TPN1","Linum bienne",153,153,153,0
2016,"N","TP","TPN1","Lomatium utriculatum",97,110,117,20
2016,"N","TP","TPN1","Lupinus bicolor",103,132,139,36
2016,"N","TP","TPN1","Ranunculus occidentalis",89,97,110,21
2016,"N","TP","TPN1","Silene gallica",132,132,132,0
2016,"N","TP","TPN1","Trifolium angustifolium",147,153,153,6
2016,"N","TP","TPN1","Trifolium microcephalum",125,125,125,0
2016,"N","TP","TPN1","Vicia sativa",97,97,103,6
2016,"N","TP","TPN2","Carduus pycnocephalus",125,132,159,34
2016,"N","TP","TPN2","Claytonia perfoliata",103,103,103,0
2016,"N","TP","TPN2","Dichelostemma capitatum",110,110,117,7
2016,"N","TP","TPN2","Leptosiphon jepsonii",110,110,125,15
2016,"N","TP","TPN2","Linum bienne",139,153,153,14
2016,"N","TP","TPN2","Ranunculus occidentalis",89,97,103,14
2016,"N","TP","TPN2","Trifolium angustifolium",139,139,147,8
2016,"N","TP","TPN2","Trifolium hirtum",125,132,147,22
2016,"N","TP","TPN3","Brodiaea elegans",159,166,166,7
2016,"N","TP","TPN3","Clarkia purpurea",125,132,153,28
2016,"N","TP","TPN3","Dichelostemma capitatum",97,97,103,6
2016,"N","TP","TPN3","Hemizonia congesta",139,153,182,43
2016,"N","TP","TPN3","Linum bienne",147,166,182,35
2016,"N","TP","TPN3","Lysimachia arvensis",125,139,139,14
2016,"N","TP","TPN3","Trifolium angustifolium",132,153,153,21
2016,"N","TP","TPN3","Trifolium hirtum",125,132,139,14
2016,"N","TP","TPN3","Trifolium microcephalum",97,103,125,28
2016,"N","TP","TPN3","Trifolium microdon",110,110,117,7
2016,"N","TP","TPN3","Trifolium willdenovii",110,117,117,7
2016,"N","TP","TPN3","Vicia sativa",97,103,103,6
2016,"N","TT","TTN1","Calochortus vestae",159,159,166,7
2016,"N","TT","TTN1","Claytonia perfoliata",125,125,147,22
2016,"N","TT","TTN1","Lasthenia californica",103,117,132,29
2016,"N","TT","TTN1","Lomatium utriculatum",97,117,117,20
2016,"N","TT","TTN1","Ranunculus occidentalis",89,97,117,28
2016,"N","TT","TTN1","Sisyrinchium bellum",97,110,125,28
2016,"N","TT","TTN1","Trifolium bifidum",110,117,117,7
2016,"N","TT","TTN1","Trifolium microcephalum",103,103,103,0
2016,"N","TT","TTN2","Brodiaea elegans",159,159,166,7
2016,"N","TT","TTN2","Calochortus vestae",159,159,173,14
2016,"N","TT","TTN2","Lasthenia californica",103,117,125,22
2016,"N","TT","TTN2","Lomatium utriculatum",89,97,110,21
2016,"N","TT","TTN2","Ranunculus occidentalis",80,103,110,30
2016,"N","TT","TTN2","Sisyrinchium bellum",97,110,132,35
2016,"N","TT","TTN2","Trifolium bifidum",97,103,110,13
2016,"N","TT","TTN3","Agoseris grandiflora",125,132,159,34
2016,"N","TT","TTN3","Brodiaea elegans",159,159,166,7
2016,"N","TT","TTN3","Calochortus vestae",159,173,173,14
2016,"N","TT","TTN3","Calystegia collina",147,147,147,0
2016,"N","TT","TTN3","Clarkia purpurea",103,103,103,0
2016,"N","TT","TTN3","Claytonia perfoliata",117,117,125,8
2016,"N","TT","TTN3","Lasthenia californica",103,117,132,29
2016,"N","TT","TTN3","Ranunculus occidentalis",89,103,117,28
2016,"N","TT","TTN3","Sisyrinchium bellum",97,110,117,20
2016,"N","TT","TTN3","Trifolium bifidum",97,103,117,20
2016,"N","TT","TTN3","Trifolium microcephalum",89,89,89,0
2016,"N","TT","TTN3","Trifolium microdon",110,110,117,7
2016,"S","BH","BHS1","Brodiaea elegans",147,153,153,6
2016,"S","BH","BHS1","Centaurea solstitialis",159,166,182,23
2016,"S","BH","BHS1","Convolvulus arvensis",117,139,173,56
2016,"S","BH","BHS1","Dichelostemma capitatum",89,103,110,21
2016,"S","BH","BHS1","Erodium botrys",80,80,132,52
2016,"S","BH","BHS1","Silene gallica",132,132,132,0
2016,"S","BH","BHS1","Trifolium angustifolium",132,132,132,0
2016,"S","BH","BHS1","Trifolium hirtum",110,110,117,7
2016,"S","BH","BHS1","Trifolium subterraneum",80,80,80,0
2016,"S","BH","BHS2","Erodium botrys",80,103,132,52
2016,"S","BH","BHS2","Erodium cicutarium",80,80,80,0
2016,"S","BH","BHS2","Trifolium angustifolium",125,139,139,14
2016,"S","BH","BHS2","Trifolium hirtum",103,103,132,29
2016,"S","BH","BHS3","Agoseris grandiflora",89,89,89,0
2016,"S","BH","BHS3","Dichelostemma capitatum",80,89,103,23
2016,"S","BH","BHS3","Erodium botrys",89,110,125,36
2016,"S","BH","BHS3","Erodium cicutarium",80,80,80,0
2016,"S","BH","BHS3","Hedypnois cretica",125,132,153,28
2016,"S","BH","BHS3","Silene gallica",117,132,139,22
2016,"S","BH","BHS3","Trifolium angustifolium",132,132,132,0
2016,"S","BH","BHS3","Trifolium hirtum",103,110,132,29
2016,"S","BH","BHS3","Trifolium subterraneum",80,80,80,0
